,implementation,processors amount,iteration limit,execution time (seconds),speedup,efficiency
0,sequential,1,100,0.4131053333333334,1.0,1.0
1,sequential,1,1000,3.143713333333333,1.0,1.0
2,sequential,1,10000,30.333066666666667,1.0,1.0
3,sequential,1,100000,302.33099999999996,1.0,1.0
4,sequential,2,100,0.4131053333333334,1.0,0.5
5,sequential,2,1000,3.143713333333333,1.0,0.5
6,sequential,2,10000,30.333066666666667,1.0,0.5
7,sequential,2,100000,302.33099999999996,1.0,0.5
8,sequential,4,100,0.4131053333333334,1.0,0.3333333333333333
9,sequential,4,1000,3.143713333333333,1.0,0.3333333333333333
10,sequential,4,10000,30.333066666666667,1.0,0.3333333333333333
11,sequential,4,100000,302.33099999999996,1.0,0.3333333333333333
12,sequential,8,100,0.4131053333333334,1.0,0.25
13,sequential,8,1000,3.143713333333333,1.0,0.25
14,sequential,8,10000,30.333066666666667,1.0,0.25
15,sequential,8,100000,302.33099999999996,1.0,0.25
16,MPI (send-recv),1,100,0.414267,0.9971958503412857,0.9971958503412857
17,MPI (send-recv),1,1000,3.1608699999999996,0.994572169476547,0.994572169476547
18,MPI (send-recv),1,10000,30.36553333333333,0.9989308053209451,0.9989308053209451
19,MPI (send-recv),1,100000,305.416,0.9898990229719463,0.9898990229719463
20,MPI (send-recv),2,100,0.24749300000000005,1.6691596664686812,0.8345798332343406
21,MPI (send-recv),2,1000,1.7872733333333333,1.7589437914737904,0.8794718957368952
22,MPI (send-recv),2,10000,17.669666666666668,1.7166745269671186,0.8583372634835593
23,MPI (send-recv),2,100000,174.817,1.729414187407403,0.8647070937037015
24,MPI (send-recv),4,100,0.24295266666666668,1.7003531552099314,0.5667843850699771
25,MPI (send-recv),4,1000,1.8283566666666669,1.7194201714836816,0.5731400571612272
26,MPI (send-recv),4,10000,17.168000000000003,1.7668375271823544,0.5889458423941182
27,MPI (send-recv),4,100000,181.19500000000002,1.668539418858136,0.5561798062860454
28,MPI (send-recv),8,100,0.219831,1.8791950786437464,0.4697987696609366
29,MPI (send-recv),8,1000,2.092446666666667,1.502410256573644,0.375602564143411
30,MPI (send-recv),8,10000,19.314966666666667,1.5704436456012523,0.39261091140031307
31,MPI (send-recv),8,100000,238.96899999999997,1.2651473622101612,0.3162868405525403
32,MPI (gather),1,100,0.41509799999999997,0.9951995271799272,0.9951995271799272
33,MPI (gather),1,1000,3.148213333333333,0.998570617831913,0.998570617831913
34,MPI (gather),1,10000,30.47023333333333,0.9954983388159155,0.9954983388159155
35,MPI (gather),1,100000,303.148,0.9973049467586788,0.9973049467586788
36,MPI (gather),2,100,0.246035,1.6790510835179278,0.8395255417589639
37,MPI (gather),2,1000,1.7710233333333332,1.7750829558052124,0.8875414779026062
38,MPI (gather),2,10000,17.342566666666666,1.749052908354588,0.874526454177294
39,MPI (gather),2,100000,174.18533333333335,1.7356857446857368,0.8678428723428684
40,MPI (gather),4,100,0.26243666666666665,1.5741143895034995,0.5247047965011665
41,MPI (gather),4,1000,2.0097366666666665,1.5642414180298911,0.5214138060099637
42,MPI (gather),4,10000,18.876499999999997,1.6069221871992516,0.5356407290664172
43,MPI (gather),4,100000,195.7603333333333,1.544393569688105,0.5147978565627017
44,MPI (gather),8,100,0.265627,1.5552083686271854,0.38880209215679634
45,MPI (gather),8,1000,2.446293333333333,1.2850925481817388,0.3212731370454347
46,MPI (gather),8,10000,24.801066666666667,1.2230549223689304,0.3057637305922326
47,MPI (gather),8,100000,242.22133333333332,1.2481600849911374,0.31204002124778435
48,OMP (static),1,100,0.41342866666666667,0.9992179223179171,0.9992179223179171
49,OMP (static),1,1000,3.25563,0.9656236529744882,0.9656236529744882
50,OMP (static),1,10000,30.299566666666664,1.0011056263730946,1.0011056263730946
51,OMP (static),1,100000,304.915,0.9915255071085383,0.9915255071085383
52,OMP (static),2,100,0.25470566666666666,1.621892982357414,0.810946491178707
53,OMP (static),2,1000,1.8280666666666665,1.7196929360708946,0.8598464680354473
54,OMP (static),2,10000,16.9781,1.786599599876704,0.893299799938352
55,OMP (static),2,100000,173.68833333333336,1.7406523178490203,0.8703261589245102
56,OMP (static),4,100,0.194322,2.1258804115505883,0.708626803850196
57,OMP (static),4,1000,1.63748,1.9198483849166603,0.6399494616388868
58,OMP (static),4,10000,16.183533333333333,1.8743166922756878,0.6247722307585626
59,OMP (static),4,100000,166.13566666666665,1.8197838312864787,0.6065946104288262
60,OMP (static),8,100,0.148461,2.7825848763872894,0.6956462190968223
61,OMP (static),8,1000,1.2080366666666666,2.6023327106517185,0.6505831776629296
62,OMP (static),8,10000,11.868033333333335,2.5558629483683055,0.6389657370920764
63,OMP (static),8,100000,122.61000000000001,2.465793980915096,0.616448495228774
64,OMP (dynamic),1,100,0.43122900000000003,0.957972059702231,0.957972059702231
65,OMP (dynamic),1,1000,3.1636633333333335,0.9936940192751229,0.9936940192751229
66,OMP (dynamic),1,10000,30.251133333333332,1.0027084384717266,1.0027084384717266
67,OMP (dynamic),1,100000,304.75033333333334,0.9920612610760063,0.9920612610760063
68,OMP (dynamic),2,100,0.26385366666666665,1.5656607639840774,0.7828303819920387
69,OMP (dynamic),2,1000,1.7901300000000002,1.756136891361707,0.8780684456808535
70,OMP (dynamic),2,10000,16.9742,1.7870100898225936,0.8935050449112968
71,OMP (dynamic),2,100000,173.16899999999998,1.7458725291478265,0.8729362645739133
72,OMP (dynamic),4,100,0.15441766666666668,2.6752465715278695,0.8917488571759565
73,OMP (dynamic),4,1000,1.1235733333333335,2.7979600797455726,0.9326533599151908
74,OMP (dynamic),4,10000,10.944466666666665,2.771543611078963,0.9238478703596543
75,OMP (dynamic),4,100000,112.198,2.6946202249594466,0.8982067416531488
76,OMP (dynamic),8,100,0.12720833333333334,3.247470684572552,0.811867671143138
77,OMP (dynamic),8,1000,1.029499333333333,3.053633189984258,0.7634082974960645
78,OMP (dynamic),8,10000,10.349333333333334,2.9309198660139137,0.7327299665034784
79,OMP (dynamic),8,100000,109.76966666666668,2.754230828796054,0.6885577071990135
80,OMP (guided),1,100,0.41555133333333333,0.994113843937452,0.994113843937452
81,OMP (guided),1,1000,3.1448066666666663,0.9996523368686151,0.9996523368686151
82,OMP (guided),1,10000,30.478566666666666,0.9952261534608474,0.9952261534608474
83,OMP (guided),1,100000,304.747,0.9920721122767409,0.9920721122767409
84,OMP (guided),2,100,0.2436596666666667,1.6954194306539587,0.8477097153269794
85,OMP (guided),2,1000,1.7778066666666668,1.7683100149622566,0.8841550074811283
86,OMP (guided),2,10000,16.787533333333332,1.80688050259518,0.90344025129759
87,OMP (guided),2,100000,173.58799999999997,1.7416584095674816,0.8708292047837408
88,OMP (guided),4,100,0.156674,2.6367191322959354,0.8789063774319784
89,OMP (guided),4,1000,1.31625,2.3883861981639756,0.7961287327213252
90,OMP (guided),4,10000,13.275333333333334,2.2849193993873347,0.7616397997957782
91,OMP (guided),4,100000,137.14166666666665,2.2045160114237103,0.7348386704745701
92,OMP (guided),8,100,0.13759533333333335,3.0023208151439245,0.7505802037859811
93,OMP (guided),8,1000,1.0871166666666667,2.8917902095757886,0.7229475523939471
94,OMP (guided),8,10000,10.850466666666668,2.7955541082718405,0.6988885270679601
95,OMP (guided),8,100000,116.90433333333333,2.586140234322651,0.6465350585806627
